"","Symbol","Year","Count"
"1","RBS","2011",16
"2","RBS","2012",16
"3","SQA","2006",9
"4","AES","2006",8
"5","AES","2007",8
"6","AES","2008",8
"7","AES","2009",8
"8","BF","2006",8
"9","BF","2007",8
"10","BF","2008",8
"11","BF","2009",8
"12","BF","2010",8
"13","BF","2011",8
"14","BF","2012",8
"15","BF","2013",8
"16","BF","2014",8
"17","BRK","2006",8
"18","BRK","2007",8
"19","BRK","2008",8
"20","BRK","2009",8
"21","BRK","2010",8
"22","BRK","2011",8
"23","BRK","2012",8
"24","BRK","2013",8
"25","BRK","2014",8
"26","CBB","2006",8
"27","CBB","2011",8
"28","CBB","2012",8
"29","CBB","2013",8
"30","CBB","2014",8
"31","CBS","2006",8
"32","CBS","2007",8
"33","CBS","2008",8
"34","CBS","2009",8
"35","CBS","2010",8
"36","CBS","2011",8
"37","CBS","2012",8
"38","CBS","2013",8
"39","CBS","2014",8
"40","CCI","2014",8
"41","CCO","2006",8
"42","CCO","2012",8
"43","CHK","2010",8
"44","CHL","2006",8
"45","CHL","2007",8
"46","ES","2009",8
"47","ES","2010",8
"48","ES","2011",8
"49","ES","2012",8
"50","F","2007",8
"51","F","2010",8
"52","GEF","2006",8
"53","GEF","2007",8
"54","GEF","2008",8
"55","GEF","2009",8
"56","GEF","2010",8
"57","GEF","2011",8
"58","GEF","2012",8
"59","GEF","2013",8
"60","GEF","2014",8
"61","GMT","2006",8
"62","GMT","2007",8
"63","GMT","2008",8
"64","GMT","2009",8
"65","GMT","2010",8
"66","GMT","2011",8
"67","GMT","2012",8
"68","GTN","2006",8
"69","GTN","2007",8
"70","GTN","2008",8
"71","GTN","2009",8
"72","GTN","2010",8
"73","GTN","2011",8
"74","GTN","2012",8
"75","GTN","2013",8
"76","GTN","2014",8
"77","HEI","2011",8
"78","HIA","2008",8
"79","HK","2006",8
"80","HK","2007",8
"81","K","2006",8
"82","K","2007",8
"83","K","2008",8
"84","K","2009",8
"85","K","2010",8
"86","K","2011",8
"87","K","2012",8
"88","K","2013",8
"89","K","2014",8
"90","KEY","2010",8
"91","KMI","2006",8
"92","LEN","2012",8
"93","LEN","2013",8
"94","LEN","2014",8
"95","MAG","2012",8
"96","MKC","2014",8
"97","MOG","2009",8
"98","MOG","2010",8
"99","MOG","2011",8
"100","MOG","2012",8
"101","MOG","2013",8
"102","MOG","2014",8
"103","OCR","2007",8
"104","PBR","2006",8
"105","PBR","2007",8
"106","PBR","2008",8
"107","PBR","2010",8
"108","PLA","2006",8
"109","PLA","2007",8
"110","POM","2007",8
"111","RDS","2010",8
"112","RDS","2011",8
"113","RDS","2012",8
"114","RDS","2013",8
"115","RDS","2014",8
"116","T","2006",8
"117","T","2007",8
"118","T","2008",8
"119","T","2009",8
"120","T","2013",8
"121","T","2014",8
"122","TA","2008",8
"123","TUX","2008",8
"124","TUX","2009",8
"125","VRX","2009",8
"126","WFC","2009",8
"127","AES","2010",7
"128","ALR","2009",7
"129","ALR","2010",7
"130","AXG","2008",7
"131","AXP","2006",7
"132","CBB","2007",7
"133","CBB","2010",7
"134","CHE","2006",7
"135","CHK","2009",7
"136","CHK","2011",7
"137","CHL","2008",7
"138","CMT","2008",7
"139","DSP","2008",7
"140","F","2006",7
"141","FYR","2008",7
"142","IDI","2008",7
"143","IDI","2009",7
"144","INGR","2006",7
"145","JW","2007",7
"146","JW","2008",7
"147","JW","2009",7
"148","MAG","2010",7
"149","MAG","2014",7
"150","MKC","2010",7
"151","NDN","2010",7
"152","NYCB","2006",7
"153","OCR","2006",7
"154","OCR","2008",7
"155","OI","2007",7
"156","PAA","2012",7
"157","PAA","2013",7
"158","PBR","2009",7
"159","T","2010",7
"160","TAQ","2007",7
"161","USQ","2007",7
"162","VRX","2008",7
"163","WFC","2008",7
"164","WPZ","2013",7
"165","AGN","2015",6
"166","ALR","2007",6
"167","AXP","2007",6
"168","BF","2015",6
"169","BRK","2015",6
"170","CB","2008",6
"171","CB","2014",6
"172","CBB","2008",6
"173","CBB","2015",6
"174","CBS","2015",6
"175","CCME","2008",6
"176","CCO","2007",6
"177","CCO","2008",6
"178","CHV","2007",6
"179","CMT","2007",6
"180","CSR","2008",6
"181","CSR","2009",6
"182","DSP","2009",6
"183","ETR","2007",6
"184","FSL","2006",6
"185","GEF","2015",6
"186","GTN","2015",6
"187","HEI","2013",6
"188","HK","2010",6
"189","K","2015",6
"190","KEY","2009",6
"191","KMG","2006",6
"192","LEN","2009",6
"193","LEN","2011",6
"194","LEN","2015",6
"195","MAG","2011",6
"196","MKC","2011",6
"197","MKC","2015",6
"198","MOG","2015",6
"199","NDN","2009",6
"200","NYCB","2007",6
"201","OI","2006",6
"202","OIBR","2010",6
"203","PAA","2006",6
"204","PLD","2007",6
"205","PLD","2008",6
"206","RDS","2015",6
"207","SQA","2007",6
"208","STZ","2015",6
"209","TA","2007",6
"210","TRI","2007",6
"211","USQ","2008",6
"212","VRX","2010",6
"213","WSO","2009",6
"214","ALR","2008",5
"215","BTO","2014",5
"216","CB","2007",5
"217","CB","2011",5
"218","CB","2013",5
"219","CCME","2009",5
"220","CCO","2010",5
"221","CCO","2011",5
"222","CCO","2013",5
"223","CHE","2007",5
"224","CHK","2006",5
"225","CHK","2007",5
"226","CHK","2012",5
"227","CMT","2006",5
"228","CMT","2009",5
"229","CRE","2006",5
"230","CTRX","2006",5
"231","EDR","2015",5
"232","EQC","2009",5
"233","EQC","2013",5
"234","ES","2008",5
"235","ES","2013",5
"236","ETR","2008",5
"237","G","2008",5
"238","G","2012",5
"239","G","2013",5
"240","G","2014",5
"241","GAB","2014",5
"242","GHN","2007",5
"243","GMT","2013",5
"244","GRX","2011",5
"245","GRX","2013",5
"246","HEI","2010",5
"247","HEI","2012",5
"248","HIA","2009",5
"249","HK","2011",5
"250","KEY","2011",5
"251","KMI","2007",5
"252","MAG","2013",5
"253","MAG","2015",5
"254","MIL","2007",5
"255","MKC","2009",5
"256","MKC","2012",5
"257","MX","2014",5
"258","MX","2015",5
"259","NDN","2007",5
"260","NOC","2007",5
"261","NOC","2008",5
"262","NOVN","2009",5
"263","OIBR","2009",5
"264","OIBR","2014",5
"265","OIBR","2015",5
"266","PAA","2010",5
"267","PBR","2011",5
"268","PLD","2010",5
"269","POM","2008",5
"270","PPL","2009",5
"271","PPL","2011",5
"272","PPL","2012",5
"273","RBS","2014",5
"274","RDS","2009",5
"275","SWX","2009",5
"276","T","2012",5
"277","T","2015",5
"278","TA","2014",5
"279","TCM","2008",5
"280","TNF","2007",5
"281","TNF","2008",5
"282","TRQ","2013",5
"283","VALE","2008",5
"284","VRX","2006",5
"285","VRX","2007",5
"286","WFC","2010",5
"287","WPZ","2014",5
"288","WSO","2006",5
"289","WSO","2008",5
"290","AA","2006",4
"291","AA","2007",4
"292","AA","2008",4
"293","AA","2009",4
"294","AA","2010",4
"295","AA","2011",4
"296","AA","2012",4
"297","AA","2013",4
"298","AA","2014",4
"299","AACC","2008",4
"300","AACC","2009",4
"301","AACC","2010",4
"302","AACC","2011",4
"303","AACC","2012",4
"304","AACPF","2011",4
"305","AAIR","2006",4
"306","AAIR","2007",4
"307","AAIR","2008",4
"308","AAL","2006",4
"309","AAL","2007",4
"310","AAL","2008",4
"311","AAL","2009",4
"312","AAL","2014",4
"313","AAN","2006",4
"314","AAN","2007",4
"315","AAN","2008",4
"316","AAN","2009",4
"317","AAN","2010",4
"318","AAN","2011",4
"319","AAN","2012",4
"320","AAN","2013",4
"321","AAN","2014",4
"322","AAP","2012",4
"323","AAP","2013",4
"324","AAP","2014",4
"325","AAPL","2006",4
"326","AAPL","2007",4
"327","AAPL","2008",4
"328","AAPL","2009",4
"329","AAPL","2010",4
"330","AAPL","2011",4
"331","AAPL","2012",4
"332","AAPL","2013",4
"333","AAPL","2014",4
"334","AB","2006",4
"335","AB","2007",4
"336","AB","2008",4
"337","AB","2009",4
"338","AB","2010",4
"339","AB","2011",4
"340","AB","2012",4
"341","AB","2013",4
"342","AB","2014",4
"343","ABB","2007",4
"344","ABB","2008",4
"345","ABB","2009",4
"346","ABB","2010",4
"347","ABB","2011",4
"348","ABB","2012",4
"349","ABB","2013",4
"350","ABB","2014",4
"351","ABBV","2013",4
"352","ABBV","2014",4
"353","ABC","2008",4
"354","ABC","2009",4
"355","ABC","2010",4
"356","ABCD","2006",4
"357","ABCD","2010",4
"358","ABCD","2011",4
"359","ABCD","2012",4
"360","ABCD","2013",4
"361","ABCD","2014",4
"362","ABE","2006",4
"363","ABE","2008",4
"364","ABE","2009",4
"365","ABE","2010",4
"366","ABE","2011",4
"367","ABE","2012",4
"368","ABE","2013",4
"369","ABE","2014",4
"370","ABIL","2014",4
"371","ABT","2006",4
"372","ABT","2007",4
"373","ABT","2008",4
"374","ABT","2009",4
"375","ABT","2010",4
"376","ABT","2011",4
"377","ABT","2012",4
"378","ABT","2013",4
"379","ABT","2014",4
"380","ABTL","2006",4
"381","ABTL","2007",4
"382","ABTL","2014",4
"383","ABVT","2010",4
"384","ABVT","2011",4
"385","ABX","2006",4
"386","ABX","2007",4
"387","ABX","2008",4
"388","ABX","2009",4
"389","ABX","2010",4
"390","ABX","2011",4
"391","ABX","2012",4
"392","ABX","2013",4
"393","ABX","2014",4
"394","ACAP","2007",4
"395","ACAP","2008",4
"396","ACAP","2009",4
"397","ACAS","2012",4
"398","ACAS","2013",4
"399","ACAS","2014",4
"400","ACC","2013",4
"401","ACCL","2009",4
"402","ACCL","2010",4
"403","ACCL","2011",4
"404","ACCL","2012",4
"405","ACCL","2013",4
"406","ACCO","2006",4
"407","ACCO","2007",4
"408","ACCO","2008",4
"409","ACCO","2009",4
"410","ACCO","2010",4
"411","ACCO","2011",4
"412","ACCO","2012",4
"413","ACCO","2013",4
"414","ACCO","2014",4
"415","ACFC","2007",4
"416","ACFC","2008",4
"417","ACFC","2009",4
"418","ACFN","2014",4
"419","ACG","2006",4
"420","ACG","2010",4
"421","ACG","2011",4
"422","ACG","2012",4
"423","ACG","2013",4
"424","ACG","2014",4
"425","ACGL","2009",4
"426","ACHC","2008",4
"427","ACHC","2011",4
"428","ACIIQ","2006",4
"429","ACIIQ","2007",4
"430","ACIIQ","2008",4
"431","ACIW","2006",4
"432","ACIW","2010",4
"433","ACLI","2007",4
"434","ACLS","2009",4
"435","ACLS","2010",4
"436","ACLS","2011",4
"437","ACLS","2012",4
"438","ACLS","2013",4
"439","ACLS","2014",4
"440","ACM","2006",4
"441","ACM","2007",4
"442","ACM","2008",4
"443","ACM","2009",4
"444","ACM","2013",4
"445","ACM","2014",4
"446","ACME","2006",4
"447","ACME","2007",4
"448","ACME","2008",4
"449","ACME","2009",4
"450","ACN","2007",4
"451","ACN","2008",4
"452","ACN","2009",4
"453","ACNI","2006",4
"454","ACNI","2007",4
"455","ACNI","2008",4
"456","ACNIU","2006",4
"457","ACPIQ","2008",4
"458","ACPW","2009",4
"459","ACPW","2010",4
"460","ACPW","2011",4
"461","ACPW","2012",4
"462","ACPW","2013",4
"463","ACPW","2014",4
"464","ACTA","2006",4
"465","ACTA","2007",4
"466","ACTA","2008",4
"467","ACTI","2009",4
"468","ACTT","2006",4
"469","ACTT","2007",4
"470","ACU","2007",4
"471","ACU","2008",4
"472","ACV","2006",4
"473","ACV","2007",4
"474","ACV","2008",4
"475","ACV","2009",4
"476","ACV","2010",4
"477","ACVFX","2006",4
"478","ACVFX","2007",4
"479","ACXM","2006",4
"480","ACXM","2007",4
"481","ACXM","2008",4
"482","ADBE","2006",4
"483","ADBE","2007",4
"484","ADBE","2008",4
"485","ADBE","2009",4
"486","ADBE","2010",4
"487","ADBE","2011",4
"488","ADBE","2012",4
"489","ADBE","2013",4
"490","ADBE","2014",4
"491","ADBL","2006",4
"492","ADBL","2007",4
"493","ADGE","2009",4
"494","ADGE","2010",4
"495","ADGE","2011",4
"496","ADGE","2012",4
"497","ADGE","2013",4
"498","ADGE","2014",4
"499","ADGF","2008",4
"500","ADGF","2009",4
"501","ADGI","2006",4
"502","ADGI","2007",4
"503","ADGI","2008",4
"504","ADGI","2009",4
"505","ADI","2008",4
"506","ADI","2014",4
"507","ADM","2006",4
"508","ADM","2007",4
"509","ADM","2008",4
"510","ADM","2009",4
"511","ADM","2010",4
"512","ADM","2011",4
"513","ADM","2012",4
"514","ADM","2013",4
"515","ADM","2014",4
"516","ADP","2006",4
"517","ADP","2007",4
"518","ADP","2008",4
"519","ADP","2010",4
"520","ADP","2013",4
"521","ADPI","2008",4
"522","ADPI","2009",4
"523","ADPI","2010",4
"524","ADPI","2011",4
"525","ADS","2006",4
"526","ADS","2007",4
"527","ADS","2008",4
"528","ADS","2009",4
"529","ADS","2010",4
"530","ADS","2011",4
"531","ADS","2012",4
"532","ADS","2013",4
"533","ADSK","2012",4
"534","ADT","2013",4
"535","ADT","2014",4
"536","ADVS","2009",4
"537","ADVS","2010",4
"538","ADX","2006",4
"539","ADX","2007",4
"540","ADX","2008",4
"541","ADX","2009",4
"542","ADX","2010",4
"543","ADX","2011",4
"544","ADX","2012",4
"545","ADX","2013",4
"546","ADX","2014",4
"547","ADY","2010",4
"548","ADY","2011",4
"549","AEE","2006",4
"550","AEE","2007",4
"551","AEE","2008",4
"552","AEE","2009",4
"553","AEE","2010",4
"554","AEGN","2008",4
"555","AEGN","2009",4
"556","AEGN","2010",4
"557","AEGN","2011",4
"558","AEGN","2012",4
"559","AEGN","2013",4
"560","AEGN","2014",4
"561","AEM","2006",4
"562","AEM","2007",4
"563","AEM","2008",4
"564","AEM","2009",4
"565","AEM","2010",4
"566","AEM","2011",4
"567","AEM","2012",4
"568","AEM","2013",4
"569","AEM","2014",4
"570","AEMI","2006",4
"571","AEO","2008",4
"572","AEO","2009",4
"573","AEO","2013",4
"574","AEO","2014",4
"575","AEP","2006",4
"576","AEP","2007",4
"577","AEP","2008",4
"578","AEP","2009",4
"579","AEP","2010",4
"580","AEP","2011",4
"581","AEP","2012",4
"582","AEP","2013",4
"583","AEP","2014",4
"584","AEPI","2006",4
"585","AER","2009",4
"586","AER","2014",4
"587","AES","2011",4
"588","AES","2012",4
"589","AES","2013",4
"590","AES","2014",4
"591","AET","2006",4
"592","AET","2007",4
"593","AET","2008",4
"594","AET","2009",4
"595","AET","2010",4
"596","AET","2011",4
"597","AET","2012",4
"598","AET","2013",4
"599","AET","2014",4
"600","AF","2006",4
"601","AF","2007",4
"602","AF","2008",4
"603","AF","2009",4
"604","AFFMQ","2010",4
"605","AFFMQ","2011",4
"606","AFG","2007",4
"607","AFL","2007",4
"608","AFL","2008",4
"609","AFL","2009",4
"610","AGC","2009",4
"611","AGCO","2009",4
"612","AGCO","2012",4
"613","AGI","2010",4
"614","AGI","2012",4
"615","AGI","2013",4
"616","AGI","2014",4
"617","AGII","2006",4
"618","AGII","2007",4
"619","AGII","2008",4
"620","AGII","2009",4
"621","AGII","2010",4
"622","AGII","2011",4
"623","AGII","2012",4
"624","AGII","2013",4
"625","AGII","2014",4
"626","AGL","2006",4
"627","AGL","2007",4
"628","AGN","2006",4
"629","AGN","2007",4
"630","AGN","2008",4
"631","AGN","2009",4
"632","AGN","2010",4
"633","AGN","2011",4
"634","AGN","2012",4
"635","AGN","2013",4
"636","AGN","2014",4
"637","AGNC","2011",4
"638","AGNC","2014",4
"639","AGO","2013",4
"640","AGR","2006",4
"641","AGR","2007",4
"642","AGR","2008",4
"643","AGR","2009",4
"644","AGU","2012",4
"645","AGYS","2014",4
"646","AHC","2008",4
"647","AHC","2013",4
"648","AHC","2014",4
"649","AHGP","2007",4
"650","AHGP","2008",4
"651","AHGP","2009",4
"652","AHII","2007",4
"653","AHII","2008",4
"654","AHII","2009",4
"655","AHII","2010",4
"656","AHL","2006",4
"657","AHL","2009",4
"658","AHL","2010",4
"659","AHL","2011",4
"660","AHL","2012",4
"661","AHL","2013",4
"662","AHMIQ","2006",4
"663","AHP","2014",4
"664","AHT","2010",4
"665","AHT","2014",4
"666","AI","2006",4
"667","AI","2007",4
"668","AIG","2006",4
"669","AIG","2007",4
"670","AIG","2008",4
"671","AIG","2012",4
"672","AIG","2013",4
"673","AIG","2014",4
"674","AIII","2010",4
"675","AIII","2011",4
"676","AIII","2012",4
"677","AIII","2013",4
"678","AIMC","2007",4
"679","AIMC","2008",4
"680","AIMC","2009",4
"681","AIMC","2012",4
"682","AIN","2009",4
"683","AIN","2012",4
"684","AIN","2013",4
"685","AIN","2014",4
"686","AIPC","2006",4
"687","AIPC","2007",4
"688","AIPC","2008",4
"689","AIQ","2011",4
"690","AIQ","2012",4
"691","AIR","2006",4
"692","AIR","2007",4
"693","AIR","2008",4
"694","AIR","2009",4
"695","AIR","2010",4
"696","AIR","2011",4
"697","AIR","2012",4
"698","AIR","2013",4
"699","AIR","2014",4
"700","AIRT","2013",4
"701","AIRT","2014",4
"702","AISLY","2007",4
"703","AIV","2012",4
"704","AIV","2014",4
"705","AIZ","2011",4
"706","AIZ","2012",4
"707","AJRD","2006",4
"708","AJRD","2007",4
"709","AJRD","2008",4
"710","AJRD","2009",4
