"","Threshold: 21.85%","Threshold: 27%","Threshold: 52.13%","Threshold: 56.33%","Threshold: 65.59%"
"Count","2088","2088","2088","2088","2088"
"Count_Buy","892","892","892","892","892"
"Count_Sell","1196","1196","1196","1196","1196"
"Percent_buy","42.72 %","42.72 %","42.72 %","42.72 %","42.72 %"
"Percent_sell","57.28 %","57.28 %","57.28 %","57.28 %","57.28 %"
"Prob_Buy_given_Buy_LinearGaussian","69.17 %","69.17 %","69.17 %","69.17 %","69.17 %"
"Prob_Buy_given_Sell_LinearGaussian","57.27 %","57.27 %","57.27 %","57.27 %","57.27 %"
"Prob_Sell_given_Buy_LinearGaussian","30.83 %","30.83 %","30.83 %","30.83 %","30.83 %"
"Prob_Sell_given_Sell_LinearGaussian","26.92 %","26.92 %","26.92 %","26.92 %","26.92 %"
"accuracy_LinearGaussian","44.97 %","44.97 %","44.97 %","44.97 %","44.97 %"
"Prob_Buy_given_Buy_Logistic_plain","0.22 %","0.22 %","8.07 %","49.44 %","99.33 %"
"Prob_Buy_given_Sell_Logistic_plain","0 %","0.08 %","7.11 %","47.74 %","99.25 %"
"Prob_Sell_given_Buy_Logistic_plain","99.78 %","99.78 %","91.93 %","50.56 %","0.67 %"
"Prob_Sell_given_Sell_Logistic_plain","100 %","99.92 %","92.89 %","52.26 %","0.75 %"
"accuracy_Logistic_plain","57.38 %","57.33 %","56.66 %","51.05 %","42.86 %"
"Prob_Buy_given_Buy_BiasReduction","1.23 %","1.23 %","1.23 %","1.23 %","1.23 %"
"Prob_Buy_given_Sell_BiasReduction","0.59 %","0.59 %","0.59 %","0.59 %","0.59 %"
"Prob_Sell_given_Buy_BiasReduction","98.77 %","98.77 %","98.77 %","98.77 %","98.77 %"
"Prob_Sell_given_Sell_BiasReduction","99.41 %","99.41 %","99.41 %","99.41 %","99.41 %"
"accuracy_BiasReduction","57.47 %","57.47 %","57.47 %","57.47 %","57.47 %"
"Prob_Buy_given_Buy_Bayesian","0.22 %","0.22 %","7.85 %","49.89 %","99.33 %"
"Prob_Buy_given_Sell_Bayesian","0.08 %","0.08 %","6.61 %","47.74 %","99.33 %"
"Prob_Sell_given_Buy_Bayesian","99.78 %","99.78 %","92.15 %","50.11 %","0.67 %"
"Prob_Sell_given_Sell_Bayesian","99.92 %","99.92 %","93.39 %","52.26 %","0.67 %"
"accuracy_Bayesian","57.33 %","57.33 %","56.85 %","51.25 %","42.82 %"
"Prob_Buy_given_Buy_Lasso","0 %","0 %","1.46 %","51.57 %","100 %"
"Prob_Buy_given_Sell_Lasso","0 %","0 %","1.17 %","49.41 %","99.92 %"
"Prob_Sell_given_Buy_Lasso","100 %","100 %","98.54 %","48.43 %","0 %"
"Prob_Sell_given_Sell_Lasso","100 %","100 %","98.83 %","50.59 %","0.08 %"
"accuracy_GLMnet_Lasso","57.28 %","57.28 %","57.23 %","51.01 %","42.77 %"
"Prob_Buy_given_Buy_Ridge","0 %","0 %","0.34 %","46.41 %","99.89 %"
"Prob_Buy_given_Sell_Ridge","0 %","0 %","1 %","44.82 %","99.92 %"
"Prob_Sell_given_Buy_Ridge","100 %","100 %","99.66 %","53.59 %","0.11 %"
"Prob_Sell_given_Sell_Ridge","100 %","100 %","99 %","55.18 %","0.08 %"
"accuracy_GLMnet_Ridge","57.28 %","57.28 %","56.85 %","51.44 %","42.72 %"
