"row_names","FACTSET_FUND_ID","FS_PERM_SEC_ID","HOLDING","REPORT_DATE","TICKER_EXCHANGE","FREF_SECURITY_TYPE","Symbol","Company","ISSUE_TYPE","CAP_GROUP","PRIMARY_SIC_CODE","INDUSTRY_CODE","SECTOR_CODE"
"822359","04DFL1-E","B97HDW-S-US","3500","2008-06-30","DD-NYS","SHARE","DD","000HT4-E","EQ","MEGA","2821","2205","2200"
"822360","04DFL1-E","B97HDW-S-US","3500","2008-12-31","DD-NYS","SHARE","DD","000HT4-E","EQ","MEGA","2821","2205","2200"
"822361","04DFL1-E","BCHWNY-S-US","5000","2008-06-30","LLL-NYS","SHARE","LLL","001ZY8-E","EQ","LARGE","3812","1330","1300"
"822362","04DFL1-E","BV8916-S-US","4000","2008-12-31","LMT-NYS","SHARE","LMT","000P7N-E","EQ","MEGA","3721","1330","1300"
"822363","04DFL1-E","BV8916-S-US","4000","2009-06-30","LMT-NYS","SHARE","LMT","000P7N-E","EQ","MEGA","3721","1330","1300"
"822364","04DFL1-E","C7R3T7-S-US","19200","2010-07-31","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822365","04DFL1-E","C7R3T7-S-US","19200","2010-08-31","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822366","04DFL1-E","C7R3T7-S-US","19200","2010-11-29","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822367","04DFL1-E","C7R3T7-S-US","19200","2011-03-28","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822368","04DFL1-E","C7R3T7-S-US","19200","2011-04-26","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822369","04DFL1-E","C7R3T7-S-US","19200","2011-05-30","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822370","04DFL1-E","C7R3T7-S-US","19200","2011-06-27","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822371","04DFL1-E","C7R3T7-S-US","19200","2011-07-25","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822372","04DFL1-E","C7R3T7-S-US","24000","2011-08-29","QCOM-NAS","SHARE","QCOM","000V67-E","EQ","MEGA","3663","1320","1300"
"822373","04DFL1-E","CC0PJK-S-US","10880","2010-07-31","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822374","04DFL1-E","CC0PJK-S-US","10880","2010-08-31","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822375","04DFL1-E","CC0PJK-S-US","10880","2010-11-29","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822376","04DFL1-E","CC0PJK-S-US","5600","2011-03-28","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822377","04DFL1-E","CC0PJK-S-US","10400","2011-04-26","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822378","04DFL1-E","CC0PJK-S-US","10400","2011-05-30","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822379","04DFL1-E","CC0PJK-S-US","10400","2011-06-27","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822380","04DFL1-E","CC0PJK-S-US","10400","2011-07-25","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822381","04DFL1-E","CC0PJK-S-US","10400","2011-08-29","MAR-NAS","SHARE","MAR","001YRD-E","EQ","LARGE","7011","3440","3400"
"822382","04DFL1-E","CN7JPT-S-US","5000","2009-06-30","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
"822383","04DFL1-E","CN7JPT-S-US","10200","2010-07-31","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
"822384","04DFL1-E","CN7JPT-S-US","10200","2010-08-31","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
"822385","04DFL1-E","CN7JPT-S-US","10200","2010-11-29","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
"822386","04DFL1-E","CN7JPT-S-US","10200","2011-03-28","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
"822387","04DFL1-E","CN7JPT-S-US","10200","2011-04-26","MON-NYS","SHARE","MON","003108-E","EQ","LARGE","2879","2215","2200"
